1 .5901
2 .9191
3 1.1863
4 1.5047
5 1.8156
6 2.1182
7 2.3851
8 2.6116
9 2.6653
10 2.7094
11 2.8528
12 2.8293
13 2.9421
14 3.0398
15 2.9795
16 2.9891
